id,follower_id,followed_id,created_at,updated_at
512,5,207,2012-10-26 23:28:28.238498,2012-10-26 23:28:28.238498
513,50,122,2012-10-27 00:25:06.085624,2012-10-27 00:25:06.085624
514,5,196,2012-10-27 02:39:42.831813,2012-10-27 02:39:42.831813
515,6,207,2012-10-27 05:44:50.849549,2012-10-27 05:44:50.849549
516,79,166,2012-10-27 06:58:42.557232,2012-10-27 06:58:42.557232
517,79,207,2012-10-27 06:58:44.220986,2012-10-27 06:58:44.220986
518,79,197,2012-10-27 07:02:01.735283,2012-10-27 07:02:01.735283
519,79,156,2012-10-27 08:50:53.764296,2012-10-27 08:50:53.764296
520,183,186,2012-10-27 13:07:06.558582,2012-10-27 13:07:06.558582
521,197,79,2012-10-27 14:12:08.660845,2012-10-27 14:12:08.660845
522,6,214,2012-10-27 18:03:07.327156,2012-10-27 18:03:07.327156
523,5,216,2012-10-27 18:27:02.980382,2012-10-27 18:27:02.980382
524,79,214,2012-10-27 19:16:17.992681,2012-10-27 19:16:17.992681
525,79,216,2012-10-27 19:22:37.138447,2012-10-27 19:22:37.138447
526,79,221,2012-10-28 10:39:34.041763,2012-10-28 10:39:34.041763
528,221,222,2012-10-28 11:56:47.318619,2012-10-28 11:56:47.318619
529,222,221,2012-10-28 11:57:10.986291,2012-10-28 11:57:10.986291
530,221,183,2012-10-28 11:59:01.592532,2012-10-28 11:59:01.592532
531,8,221,2012-10-28 16:37:16.850589,2012-10-28 16:37:16.850589
533,221,8,2012-10-28 16:40:27.947548,2012-10-28 16:40:27.947548
534,5,223,2012-10-28 17:13:11.241552,2012-10-28 17:13:11.241552
535,5,222,2012-10-28 17:13:20.626126,2012-10-28 17:13:20.626126
536,5,221,2012-10-28 17:13:50.726817,2012-10-28 17:13:50.726817
538,221,5,2012-10-28 17:15:33.535816,2012-10-28 17:15:33.535816
539,79,225,2012-10-28 17:26:03.229428,2012-10-28 17:26:03.229428
540,79,180,2012-10-28 20:13:55.654219,2012-10-28 20:13:55.654219
541,79,190,2012-10-28 20:13:57.480372,2012-10-28 20:13:57.480372
542,5,191,2012-10-28 21:17:29.438287,2012-10-28 21:17:29.438287
543,5,230,2012-10-28 23:46:19.743059,2012-10-28 23:46:19.743059
544,5,205,2012-10-28 23:46:46.170311,2012-10-28 23:46:46.170311
545,230,5,2012-10-28 23:46:56.038651,2012-10-28 23:46:56.038651
546,133,79,2012-10-28 23:56:41.103794,2012-10-28 23:56:41.103794
547,5,172,2012-10-29 06:12:26.531444,2012-10-29 06:12:26.531444
548,79,230,2012-10-29 07:22:09.97292,2012-10-29 07:22:09.97292
549,79,219,2012-10-29 15:34:25.786498,2012-10-29 15:34:25.786498
550,79,226,2012-10-29 15:34:27.089079,2012-10-29 15:34:27.089079
551,79,223,2012-10-29 15:34:29.554402,2012-10-29 15:34:29.554402
552,79,143,2012-10-29 15:34:31.643664,2012-10-29 15:34:31.643664
553,79,164,2012-10-29 15:34:36.33684,2012-10-29 15:34:36.33684
554,79,171,2012-10-29 15:34:37.166506,2012-10-29 15:34:37.166506
555,79,175,2012-10-29 15:34:38.145783,2012-10-29 15:34:38.145783
556,79,176,2012-10-29 15:34:39.443536,2012-10-29 15:34:39.443536
557,79,185,2012-10-29 15:34:40.338637,2012-10-29 15:34:40.338637
558,79,170,2012-10-29 15:34:41.687349,2012-10-29 15:34:41.687349
559,79,198,2012-10-29 15:34:42.834281,2012-10-29 15:34:42.834281
560,79,213,2012-10-29 15:34:42.903601,2012-10-29 15:34:42.903601
561,79,162,2012-10-29 15:34:44.537735,2012-10-29 15:34:44.537735
563,164,79,2012-10-29 15:37:20.87152,2012-10-29 15:37:20.87152
